id,created_at,username,current_rating
158,2024-04-01 19:55:51.4348+00,truebroyeti,"{""mu"": 37.593889349909254, ""sigma"": 3.2765538174895963, ""ordinal"": 1866.3414695385711}"
159,2024-04-01 19:55:51.4348+00,Timislove,"{""mu"": 31.28526208253079, ""sigma"": 6.944604916837043, ""ordinal"": 1450.834735968472}"
160,2024-04-01 19:55:51.4348+00,Kradenth,"{""mu"": 23.64577927928462, ""sigma"": 7.218045403792524, ""ordinal"": 1247.7994336297693}"
161,2024-04-01 19:55:51.4348+00,boredgamer01,"{""mu"": 20.929729757722846, ""sigma"": 7.518089711297576, ""ordinal"": 1161.011054971923}"
162,2024-04-01 19:55:51.4348+00,Zuelo,"{""mu"": 35.27590978079186, ""sigma"": 5.856871489740999, ""ordinal"": 1624.9270874776525}"
163,2024-04-01 19:55:51.4348+00,Genaros_bear,"{""mu"": 21.656778628003618, ""sigma"": 8.034355819115541, ""ordinal"": 1141.2890680957678}"
164,2024-04-01 19:55:51.4348+00,doctordoubleu,"{""mu"": 15.841191067385365, ""sigma"": 7.466978966050022, ""ordinal"": 1042.5661000616471}"
165,2024-04-01 19:55:51.4348+00,PrazoR,"{""mu"": 22.431463585352855, ""sigma"": 7.441269975515242, ""ordinal"": 1202.583687811371}"
166,2024-04-01 19:55:51.4348+00,KajDar,"{""mu"": 29.80982439751957, ""sigma"": 7.494575339049979, ""ordinal"": 1375.8263611288712}"
167,2024-04-01 19:55:51.4348+00,Zesix,"{""mu"": 27.861346269760528, ""sigma"": 6.655048222926531, ""ordinal"": 1389.5088384235423}"
168,2024-04-01 19:55:51.4348+00,Bascythe,"{""mu"": 22.421800179667596, ""sigma"": 6.738341863485468, ""ordinal"": 1252.9625901410686}"
169,2024-04-01 19:55:51.4348+00,Kuk!,"{""mu"": 28.972992110254065, ""sigma"": 7.312912168355326, ""ordinal"": 1368.822134524514}"
170,2024-04-01 19:55:51.4348+00,Bulldogcoma,"{""mu"": 21.15595306169183, ""sigma"": 6.852700715972096, ""ordinal"": 1214.348421930613}"
171,2024-04-01 19:55:51.4348+00,quangson,"{""mu"": 26.292036636355732, ""sigma"": 6.716376369147065, ""ordinal"": 1347.429780693949}"
172,2024-04-01 19:55:51.4348+00,Halloworhorcrux,"{""mu"": 27.08799287289352, ""sigma"": 3.6949544054145673, ""ordinal"": 1584.0751117595955}"
173,2024-04-01 19:55:51.4348+00,symphonous,"{""mu"": 31.270721692991724, ""sigma"": 4.750541547446112, ""ordinal"": 1608.4583292156813}"
174,2024-04-01 19:55:51.4348+00,mrdoublehelix,"{""mu"": 27.565675423167487, ""sigma"": 7.5217617617271415, ""ordinal"": 1320.0093633116655}"
175,2024-04-01 19:55:51.4348+00,Winteriscoming,"{""mu"": 27.63049038462209, ""sigma"": 3.1602766057966956, ""ordinal"": 1635.5918536135682}"
176,2024-04-01 19:55:51.4348+00,Ghostwheel,"{""mu"": 23.54325087778344, ""sigma"": 6.193616607258957, ""ordinal"": 1319.0976253441577}"
177,2024-04-01 19:55:51.4348+00,Cowpanda,"{""mu"": 28.92462563513505, ""sigma"": 7.497278029142175, ""ordinal"": 1354.3869971450047}"
178,2024-04-01 19:55:51.4348+00,RimbaBoss,"{""mu"": 27.064578172148213, ""sigma"": 5.772614302080611, ""ordinal"": 1433.9216463817531}"
179,2024-04-01 19:55:51.4348+00,Valiant,"{""mu"": 20.76254634011126, ""sigma"": 6.334944222529544, ""ordinal"": 1242.185128140543}"
