game,player,ranking,updated_rating
63,182,2,"{""mu"": 26.55291815138952, ""sigma"": 8.17961798837266, ""ordinal"": 1248.337540470517}"
63,124,4,"{""mu"": 20.962412806387245, ""sigma"": 8.084127880168786, ""ordinal"": 1121.0406999811412}"
63,157,1,"{""mu"": 27.795252672501135, ""sigma"": 8.263571791259416, ""ordinal"": 1272.1088951693494}"
64,15,2,"{""mu"": 23.917664114189826, ""sigma"": 7.411361311162871, ""ordinal"": 1240.4059243368292}"
64,159,4,"{""mu"": 23.701844655704033, ""sigma"": 7.985715330875675, ""ordinal"": 1193.872767913848}"
64,148,1,"{""mu"": 36.83989340506056, ""sigma"": 7.453814868197494, ""ordinal"": 1547.4827712112337}"
64,127,3,"{""mu"": 27.411181473939, ""sigma"": 7.987935416225842, ""ordinal"": 1282.7370054062753}"
65,171,3,"{""mu"": 27.81904078704375, ""sigma"": 7.057205151762274, ""ordinal"": 1359.5382079621663}"
65,20,2,"{""mu"": 36.52090907974137, ""sigma"": 7.161210755216016, ""ordinal"": 1560.8946435382397}"
65,93,4,"{""mu"": 28.892689696083128, ""sigma"": 6.971950825949588, ""ordinal"": 1391.4440932376247}"
65,132,1,"{""mu"": 31.203355824905447, ""sigma"": 8.122469824415413, ""ordinal"": 1364.0627124398209}"
66,11,1,"{""mu"": 30.574635290547953, ""sigma"": 8.128717618588643, ""ordinal"": 1348.5235784347685}"
66,66,2,"{""mu"": 29.165683053666463, ""sigma"": 8.036882839098965, ""ordinal"": 1321.3208288728697}"
66,105,3,"{""mu"": 26.861775782169385, ""sigma"": 7.990165932246284, ""ordinal"": 1269.390671650333}"
66,57,4,"{""mu"": 17.598148681121003, ""sigma"": 7.196961465714318, ""ordinal"": 1104.1743428154732}"
67,157,4,"{""mu"": 23.779940997415252, ""sigma"": 7.9975476819253, ""ordinal"": 1194.8951508393445}"
67,99,1,"{""mu"": 39.57002948831504, ""sigma"": 7.392280986864989, ""ordinal"": 1617.4364766652818}"
67,120,2,"{""mu"": 33.910141058355016, ""sigma"": 7.312078655205716, ""ordinal"": 1487.373722225709}"
